Transaction Date (value),Originating Currency,Originating Amount,Debit Credit Indicator,Beneficiary Bank Raw,Originator Bank Raw,Originator Account Number,Beneficiary Account Number,Originator Name,Beneficiary Name,Subject Type,Transaction Type Source,Transaction Code Description,Sending Bank Account Number,Sending Bank Address,Converted Amount,Fraud Payment,Transaction ID
2024-12-03,HKD,145886,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,66666666601,111-111111-101,YEUNG KAI,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited,145886,1,f9975575-3d90-4e0d-b0f9-3aa8bf65cda5
2024-12-03,HKD,144123,C,,,666-66666-602,111-111111-101,TSANG SIU MING,MR        CHAN TAI MAN,Beneficiary,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,,,144123,2,7db023fd-e7a4-4f70-85b2-22b8e5c78ae6
2024-12-03,HKD,2997,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited,2997,3,b20f462d-e594-40b7-8604-92aa88938e08
2024-12-03,HKD,7001,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited,7001,4,a481c972-efa3-4c22-a988-2f5999a9fe71
2024-12-03,HKD,5001,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited,5001,5,dad2691e-9cf5-4ac9-a488-08dc60d00fdc
2024-12-03,HKD,50001,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited,50001,6,7ede493d-6c61-4a5b-a2f5-5b459ca7f2ef
2024-12-03,HKD,29999,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited,29999,7,1f877cc5-cfef-4223-b32e-9fa38585f5d6
2024-12-03,HKD,29998,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited,29998,8,e5835e5f-1be2-48a3-99ce-694ff6025b30
2024-12-03,HKD,7999,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited,7999,9,183922b6-65d9-4e78-bb30-eb6465bc24cc
2024-12-03,HKD,10001,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited,10001,10,99d939ff-41fa-45dc-b695-fa732c49cc02
2024-12-03,HKD,10003,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited,10003,11,edd3f930-5024-4e79-a633-0ebaa208c100
2024-12-03,HKD,10001,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited,10001,12,3f6e38b8-cad2-4cbf-93bc-839517232372
2024-12-03,HKD,7999,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited,7999,13,2c322667-8eb2-4c05-9226-a2cacbcc64d8
2024-12-03,HKD,50001,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited,50001,14,49c8e0b7-0be1-463e-9b94-2e29d7bdae72
