Type,total,all_fields_correct,mismatch_count,accuracy_rate,Model
ADCC,4,2,2,50.00%,cycle2_final32B_full60
HSBC Referral,18,16,2,88.89%,cycle2_final32B_full60
Police Letter,12,8,4,66.67%,cycle2_final32B_full60
Search Warrant,6,0,6,0.00%,cycle2_final32B_full60
UAR,16,2,14,12.50%,cycle2_final32B_full60
ODFT,4,0,4,0.00%,cycle2_final32B_full60
ADCC,4,2,2,50.00%,cycle2_final14B_full60
HSBC Referral,18,14,4,77.78%,cycle2_final14B_full60
Police Letter,12,8,4,66.67%,cycle2_final14B_full60
Search Warrant,6,0,6,0.00%,cycle2_final14B_full60
UAR,16,2,14,12.50%,cycle2_final14B_full60
ODFT,4,2,2,50.00%,cycle2_final14B_full60
ADCC,4,0,4,0.00%,cycle2_final7B_full60
HSBC Referral,18,9,9,50.00%,cycle2_final7B_full60
Police Letter,12,9,3,75.00%,cycle2_final7B_full60
Search Warrant,6,0,6,0.00%,cycle2_final7B_full60
UAR,16,0,16,0.00%,cycle2_final7B_full60
ODFT,4,4,0,100.00%,cycle2_final7B_full60
ADCC,4,2,2,50.00%,base32B_full60
HSBC Referral,18,16,2,88.89%,base32B_full60
Police Letter,12,1,11,8.33%,base32B_full60
Search Warrant,6,1,5,16.67%,base32B_full60
UAR,16,2,14,12.50%,base32B_full60
ODFT,4,1,3,25.00%,base32B_full60
ADCC,4,0,4,0.00%,base14B_full60
HSBC Referral,18,14,4,77.78%,base14B_full60
Police Letter,12,2,10,16.67%,base14B_full60
Search Warrant,6,0,6,0.00%,base14B_full60
UAR,16,0,16,0.00%,base14B_full60
ODFT,4,2,2,50.00%,base14B_full60
ADCC,4,1,3,25.00%,base8B_full60
HSBC Referral,18,9,9,50.00%,base8B_full60
Police Letter,12,1,11,8.33%,base8B_full60
Search Warrant,6,0,6,0.00%,base8B_full60
UAR,16,0,16,0.00%,base8B_full60
ODFT,4,2,2,50.00%,base8B_full60
ADCC,4,1,3,25.00%,base7B_full60
HSBC Referral,18,10,8,55.56%,base7B_full60
Police Letter,12,6,6,50.00%,base7B_full60
Search Warrant,6,0,6,0.00%,base7B_full60
UAR,16,0,16,0.00%,base7B_full60
ODFT,4,1,3,25.00%,base7B_full60
ADCC,4,1,3,25.00%,cycle3_8Bv1_full60
HSBC Referral,18,12,6,66.67%,cycle3_8Bv1_full60
Police Letter,12,9,3,75.00%,cycle3_8Bv1_full60
Search Warrant,6,1,5,16.67%,cycle3_8Bv1_full60
UAR,16,6,10,37.50%,cycle3_8Bv1_full60
ODFT,4,3,1,75.00%,cycle3_8Bv1_full60
ADCC,4,4,0,100.00%,cycle3_32Bv1_full60
HSBC Referral,18,16,2,88.89%,cycle3_32Bv1_full60
Police Letter,12,12,0,100.00%,cycle3_32Bv1_full60
Search Warrant,6,4,2,66.67%,cycle3_32Bv1_full60
UAR,16,12,4,75.00%,cycle3_32Bv1_full60
ODFT,4,2,2,50.00%,cycle3_32Bv1_full60
