Transaction Date (value),Account ID,Counterparty Name,Counterparty ID,Originating Currency,Originating Amount,Debit Credit Indicator,Beneficiary Bank Raw,Originator Bank Raw,Beneficiary Name,Originator Account Number,Transaction Type Source,Transaction Code Description,Sending Bank Account Number,Sending Bank Address,Converted Amount,Fraud Payment
2024-12-03,111-111111-101 ,CHAN TAI MAN,333-333333-101,HKD,2997,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN ,333-333333-101,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited   ,2997,3
2024-12-03,111-111111-101 ,CHAN TAI MAN,333-333333-101,HKD,5001,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN ,333-333333-101,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited   ,5001,5
2024-12-03,111-111111-101 ,CHAN TAI MAN,333-333333-101,HKD,7001,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN ,333-333333-101,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited   ,7001,4
2024-12-03,111-111111-101 ,CHAN TAI MAN,333-333333-101,HKD,7999,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN ,333-333333-101,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited   ,7999,9
2024-12-03,111-111111-101 ,CHAN TAI MAN,333-333333-101,HKD,7999,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN ,333-333333-101,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited   ,7999,13
2024-12-03,111-111111-101 ,CHAN TAI MAN,333-333333-101,HKD,10001,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN ,333-333333-101,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited   ,10001,10
2024-12-03,111-111111-101 ,CHAN TAI MAN,333-333333-101,HKD,10001,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN ,333-333333-101,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited   ,10001,12
2024-12-03,111-111111-101 ,CHAN TAI MAN,333-333333-101,HKD,10003,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN ,333-333333-101,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited   ,10003,11
2024-12-03,111-111111-101 ,CHAN TAI MAN,333-333333-101,HKD,29998,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN ,333-333333-101,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited   ,29998,8
2024-12-03,111-111111-101 ,CHAN TAI MAN,333-333333-101,HKD,29999,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN ,333-333333-101,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited   ,29999,7
2024-12-03,111-111111-101 ,CHAN TAI MAN,333-333333-101,HKD,50001,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN ,333-333333-101,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited   ,50001,6
2024-12-03,111-111111-101 ,CHAN TAI MAN,333-333333-101,HKD,50001,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN ,333-333333-101,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited   ,50001,14
2024-12-03,111-111111-101 ,TSANG SIU MING,666-66666-602,HKD,144123,C,,,MR        CHAN TAI MAN ,666-66666-602,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,,   ,144123,2
2024-12-03,111-111111-101 ,YEUNG KAI,66666666601,HKD,145886,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN ,66666666601,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited   ,145886,1
